variable_name,column_number_ttgintt4,source_type,teacher_questionnaire_question,item,section,description,response_scale_or_values,available_idpop,available_files,recommended_cleaning_note
CNTRY,1,identifier/design/admin,,,identifier/design/admin,Country/economy three-letter code.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
IDCNTRY,2,identifier/design/admin,,,identifier/design/admin,Numeric country/economy code.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
IDCNTPOP,3,identifier/design/admin,,,identifier/design/admin,Country/economy plus target-population identifier.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
IDSCHOOL,4,identifier/design/admin,,,identifier/design/admin,School identifier.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
IDTEACH,5,identifier/design/admin,,,identifier/design/admin,Teacher identifier.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
IDTQUEST,6,identifier/design/admin,,,identifier/design/admin,Teacher questionnaire version/type identifier.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
IDLANG_TQ,7,identifier/design/admin,,,identifier/design/admin,Teacher questionnaire language identifier.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
ITMODE_TQ,8,identifier/design/admin,,,identifier/design/admin,Teacher questionnaire administration mode.,,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4","Keep for merging, filtering, reproducibility, or survey design; do not rescale."
TT4G01,9,teacher questionnaire item,Q1,,Background and qualification,Gender.,Single-choice categorical; see teacher questionnaire for labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G04,10,teacher questionnaire item,Q4,,Background and qualification,Type of education completed for first teaching qualification.,Single-choice categorical; see teacher questionnaire for labels.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G06A,11,teacher questionnaire item,Q6,A,Background and qualification,Agreement with statements about the first teaching qualification. Item A.,"Likert agreement/likelihood scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G06B,12,teacher questionnaire item,Q6,B,Background and qualification,Agreement with statements about the first teaching qualification. Item B.,"Likert agreement/likelihood scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G06C,13,teacher questionnaire item,Q6,C,Background and qualification,Agreement with statements about the first teaching qualification. Item C.,"Likert agreement/likelihood scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G06D,14,teacher questionnaire item,Q6,D,Background and qualification,Agreement with statements about the first teaching qualification. Item D.,"Likert agreement/likelihood scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G06E,15,teacher questionnaire item,Q6,E,Background and qualification,Agreement with statements about the first teaching qualification. Item E.,"Likert agreement/likelihood scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G06F,16,teacher questionnaire item,Q6,F,Background and qualification,Agreement with statements about the first teaching qualification. Item F.,"Likert agreement/likelihood scale, generally 1-4; confirm direction before scoring.","1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
